"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","poppyramid_only","mpop25t29","Pop","10579","775.000645161022","4.45339835765139","0.0813919492829445","0.00571874086613622","true","380518","179","0","0.045","0","true","-369939","795.4036711004044","true","3.639194928294451","0.571874086613622","true"
"","demographic","poppyramid_only","mpop30t34","Pop","7460","600.508118179929","4.8934387100396","0.0573952114236474","0.0044641882516798","true","351613","226","0","0.042","0","true","-344153","641.6276178594557","true","1.5395211423647401","0.44641882516798004","true"
"","demographic","poppyramid_only","mpop35t39","Pop","5139","502.534575924881","5.94458344851879","0.0395380685665046","0.00377841860481128","true","295382","3094","0.6","0.035","0","true","-290243","3134.5457406137816","true","0.4538068566504596","0.377841860481128","false"
"","demographic","poppyramid_only","mpop40t44","Pop","4040","432.921470939015","6.5142115462249","0.031082661414415","0.0032678099627746","true","265474","3036","0.7","0.031","0","true","-261434","3066.7111047504945","true","0.00826614144149973","0.32678099627746","false"
"","demographic","poppyramid_only","mpop45t49","Pop","3108","394.568118326861","7.71747228109949","0.0239121068504955","0.00299492210188477","true","260855","252","0.1","0.031","0","true","-257747","468.1751808885214","true","-0.7087893149504501","0.299492210188477","false"
"","demographic","poppyramid_only","mpop50t54","Pop","3197","404.465078838705","7.69081726197918","0.0245968486489813","0.00306975155815813","true","259245","174","0","0.031","0","true","-256048","440.3044401320521","true","-0.6403151351018699","0.306975155815813","false"
"","demographic","poppyramid_only","mpop55t59","Pop","2768","383.630030107133","8.42520754140093","0.021296239305718","0.00291831536717103","true","242832","2266","0.6","0.029","0","true","-240064","2298.2445474753117","true","-0.7703760694282002","0.291831536717103","false"
"","demographic","poppyramid_only","mpop5t9","Pop","3851","433.852509500637","6.84861405754376","0.0296285468086416","0.00328090215968091","true","242518","2329","0.6","0.029","0","true","-238667","2369.06500543991","true","0.06285468086415946","0.328090215968091","false"
"","demographic","poppyramid_only","mpop60t64","Pop","1793","305.013114472149","10.3412329431121","0.0137948544346649","0.00232918462702","true","214089","2789","0.8","0.025","0","true","-212296","2805.628984737647","true","-1.12051455653351","0.232918462702","true"
"","demographic","poppyramid_only","mpop65t69","Pop","1620","276.810404428735","10.3872717336011","0.0124638394780575","0.00211396009436226","true","169978","2612","0.9","0.02","0","true","-168358","2626.6267340450186","true","-0.7536160521942499","0.211396009436226","true"
